dn = C a^(-3.5) ; amin = 0.005 microns ; amax = 0.25 microns
  Z     C_graphites C_silicates
0.0025    9.45e-7     5.10e-5 : Small Magellanic Cloud
0.0067    6.10e-6     3.41e-5 : Large Magellanic Cloud
0.02      1.23e-5     1.68e-5 : Milky Way
lambda         graphites           silicates
241         tau     alb  asym   tau     alb  asym
.1059E+04 .1829E+06 0.43 0.51 .1153E+06 0.36 0.59
.1122E+04 .1590E+06 0.45 0.55 .1076E+06 0.36 0.61
.1189E+04 .1421E+06 0.45 0.59 .1037E+06 0.37 0.60
.1259E+04 .1264E+06 0.47 0.62 .9746E+05 0.38 0.61
.1334E+04 .1113E+06 0.47 0.65 .9408E+05 0.38 0.61
.1413E+04 .9832E+05 0.44 0.67 .9369E+05 0.37 0.59
.1496E+04 .8871E+05 0.40 0.68 .9033E+05 0.44 0.56
.1585E+04 .8531E+05 0.35 0.68 .8036E+05 0.52 0.57
.1679E+04 .8866E+05 0.31 0.67 .7360E+05 0.57 0.57
.1778E+04 .9913E+05 0.31 0.64 .6808E+05 0.63 0.56
.1884E+04 .1167E+06 0.31 0.59 .6294E+05 0.70 0.55
.1995E+04 .1434E+06 0.29 0.53 .5851E+05 0.76 0.55
.2113E+04 .1716E+06 0.29 0.46 .5446E+05 0.80 0.54
.2239E+04 .1750E+06 0.32 0.41 .5059E+05 0.85 0.54
.2371E+04 .1553E+06 0.37 0.38 .4739E+05 0.86 0.54
.2512E+04 .1344E+06 0.40 0.37 .4418E+05 0.85 0.55
.2661E+04 .1207E+06 0.40 0.37 .4183E+05 0.85 0.55
.2818E+04 .1116E+06 0.40 0.38 .3948E+05 0.85 0.56
.2985E+04 .1047E+06 0.39 0.39 .3750E+05 0.86 0.56
.3162E+04 .9874E+05 0.39 0.40 .3556E+05 0.86 0.57
.3350E+04 .9343E+05 0.39 0.40 .3360E+05 0.86 0.57
.3548E+04 .8881E+05 0.39 0.40 .3179E+05 0.86 0.58
.3758E+04 .8468E+05 0.39 0.40 .2976E+05 0.86 0.58
.3981E+04 .8077E+05 0.39 0.40 .2786E+05 0.86 0.58
.4217E+04 .7689E+05 0.39 0.39 .2586E+05 0.86 0.58
.4467E+04 .7306E+05 0.40 0.38 .2392E+05 0.86 0.58
.4732E+04 .6938E+05 0.40 0.38 .2189E+05 0.86 0.57
.5012E+04 .6590E+05 0.41 0.37 .2000E+05 0.86 0.57
.5309E+04 .6258E+05 0.41 0.36 .1812E+05 0.86 0.56
.5623E+04 .5942E+05 0.42 0.35 .1635E+05 0.85 0.55
.5957E+04 .5640E+05 0.43 0.35 .1464E+05 0.85 0.54
.6310E+04 .5346E+05 0.43 0.34 .1300E+05 0.84 0.52
.6683E+04 .5061E+05 0.44 0.33 .1148E+05 0.83 0.51
.7079E+04 .4775E+05 0.44 0.32 .1011E+05 0.83 0.49
.7499E+04 .4492E+05 0.45 0.31 .8876E+04 0.82 0.48
.7943E+04 .4205E+05 0.45 0.29 .7753E+04 0.80 0.46
.8414E+04 .3920E+05 0.45 0.28 .6704E+04 0.79 0.45
.8913E+04 .3641E+05 0.45 0.26 .5735E+04 0.78 0.42
.9441E+04 .3372E+05 0.44 0.24 .4869E+04 0.76 0.39
.1000E+05 .3115E+05 0.44 0.23 .4118E+04 0.74 0.36
.1059E+05 .2865E+05 0.43 0.21 .3488E+04 0.72 0.32
.1122E+05 .2617E+05 0.42 0.19 .2964E+04 0.69 0.28
.1189E+05 .2378E+05 0.41 0.17 .2525E+04 0.67 0.25
.1259E+05 .2151E+05 0.39 0.14 .2156E+04 0.64 0.22
.1334E+05 .1941E+05 0.38 0.12 .1847E+04 0.61 0.19
.1413E+05 .1749E+05 0.36 0.09 .1585E+04 0.57 0.17
.1496E+05 .1571E+05 0.34 0.07 .1366E+04 0.53 0.15
.1585E+05 .1406E+05 0.33 0.06 .1181E+04 0.50 0.13
.1679E+05 .1252E+05 0.31 0.04 .1026E+04 0.46 0.12
.1778E+05 .1110E+05 0.29 0.03 .8980E+03 0.41 0.11
.1884E+05 .9793E+04 0.27 0.02 .7922E+03 0.37 0.09
.1995E+05 .8619E+04 0.25 0.02 .7043E+03 0.33 0.08
.2113E+05 .7573E+04 0.22 0.01 .6311E+03 0.29 0.07
.2239E+05 .6649E+04 0.20 0.01 .5700E+03 0.26 0.07
.2371E+05 .5839E+04 0.18 0.01 .5188E+03 0.22 0.06
.2512E+05 .5134E+04 0.16 0.01 .4754E+03 0.19 0.05
.2661E+05 .4521E+04 0.15 0.01 .4391E+03 0.16 0.05
.2818E+05 .3985E+04 0.13 0.01 .4083E+03 0.14 0.04
.2985E+05 .3519E+04 0.11 0.01 .3820E+03 0.12 0.04
.3162E+05 .3109E+04 0.10 0.01 .3598E+03 0.10 0.03
.3350E+05 .2757E+04 0.09 0.01 .3412E+03 0.08 0.03
.3548E+05 .2445E+04 0.08 0.01 .3232E+03 0.07 0.03
.3758E+05 .2173E+04 0.07 0.01 .3069E+03 0.06 0.02
.3981E+05 .1934E+04 0.06 0.01 .2925E+03 0.05 0.02
.4217E+05 .1724E+04 0.06 0.01 .2790E+03 0.04 0.02
.4467E+05 .1539E+04 0.05 0.01 .2663E+03 0.03 0.02
.4732E+05 .1376E+04 0.04 0.01 .2559E+03 0.02 0.01
.5012E+05 .1232E+04 0.04 0.01 .2479E+03 0.02 0.01
.5309E+05 .1104E+04 0.03 0.01 .2433E+03 0.01 0.01
.5623E+05 .9896E+03 0.03 0.01 .2422E+03 0.01 0.01
.5957E+05 .8886E+03 0.03 0.01 .2451E+03 0.01 0.01
.6310E+05 .7939E+03 0.02 0.01 .2500E+03 0.01 0.01
.6683E+05 .7196E+03 0.02 0.01 .2508E+03 0.00 0.01
.7079E+05 .6495E+03 0.02 0.01 .2526E+03 0.00 0.01
.7499E+05 .5874E+03 0.02 0.01 .3202E+03 0.00 0.01
.7943E+05 .5330E+03 0.01 0.00 .7191E+03 0.00 0.00
.8414E+05 .4843E+03 0.01 0.00 .1548E+04 0.00 0.00
.8913E+05 .4414E+03 0.01 0.00 .2395E+04 0.00 0.00
.9441E+05 .4040E+03 0.01 0.00 .3225E+04 0.00 0.00
.1000E+06 .3720E+03 0.01 0.00 .2894E+04 0.00 0.00
.1059E+06 .3443E+03 0.01 0.00 .2386E+04 0.00 0.00
.1122E+06 .3235E+03 0.01 0.00 .1807E+04 0.00 0.00
.1189E+06 .3002E+03 0.00 0.00 .1390E+04 0.00 0.00
.1259E+06 .2855E+03 0.00 0.00 .1046E+04 0.00 0.00
.1334E+06 .2729E+03 0.00 0.00 .7915E+03 0.00 0.00
.1413E+06 .2636E+03 0.00 0.00 .6618E+03 0.00 0.00
.1496E+06 .2578E+03 0.00 0.00 .7343E+03 0.00 0.00
.1585E+06 .2553E+03 0.00 0.00 .8654E+03 0.00 0.00
.1679E+06 .2557E+03 0.00 0.00 .1012E+04 0.00 0.00
.1778E+06 .2589E+03 0.00 0.00 .1112E+04 0.00 0.00
.1884E+06 .2648E+03 0.00 0.00 .1107E+04 0.00 0.00
.1995E+06 .2728E+03 0.00 0.00 .9958E+03 0.00 0.00
.2113E+06 .2826E+03 0.00 0.00 .8701E+03 0.00 0.00
.2239E+06 .2939E+03 0.00 0.00 .7646E+03 0.00 0.00
.2371E+06 .3061E+03 0.00 0.00 .6735E+03 0.00 0.00
.2512E+06 .3178E+03 0.00 -.01 .5956E+03 0.00 0.00
.2661E+06 .3282E+03 0.00 -.01 .5254E+03 0.00 0.00
.2818E+06 .3361E+03 0.00 -.01 .4648E+03 0.00 0.00
.2985E+06 .3404E+03 0.00 -.01 .4122E+03 0.00 0.00
.3162E+06 .3405E+03 0.00 -.01 .3650E+03 0.00 0.00
.3350E+06 .3358E+03 0.00 0.00 .3240E+03 0.00 0.00
.3548E+06 .3260E+03 0.00 0.00 .2894E+03 0.00 0.00
.3758E+06 .3119E+03 0.00 0.00 .2590E+03 0.00 0.00
.3981E+06 .2944E+03 0.00 0.00 .2306E+03 0.00 0.00
.4217E+06 .2746E+03 0.00 0.00 .2049E+03 0.00 0.00
.4467E+06 .2534E+03 0.00 0.00 .1816E+03 0.00 0.00
.4732E+06 .2318E+03 0.00 0.00 .1609E+03 0.00 0.00
.5012E+06 .2105E+03 0.00 0.00 .1425E+03 0.00 0.00
.5309E+06 .1899E+03 0.00 0.00 .1261E+03 0.00 0.00
.5623E+06 .1705E+03 0.00 0.00 .1115E+03 0.00 0.00
.5957E+06 .1525E+03 0.00 0.00 .9860E+02 0.00 0.00
.6310E+06 .1360E+03 0.00 0.00 .8717E+02 0.00 0.00
.6683E+06 .1210E+03 0.00 0.00 .7705E+02 0.00 0.00
.7079E+06 .1075E+03 0.00 0.00 .6809E+02 0.00 0.00
.7499E+06 .9537E+02 0.00 0.00 .6021E+02 0.00 0.00
.7943E+06 .8456E+02 0.00 0.00 .5331E+02 0.00 0.00
.8414E+06 .7496E+02 0.00 0.00 .4717E+02 0.00 0.00
.8913E+06 .6648E+02 0.00 0.00 .4177E+02 0.00 0.00
.9441E+06 .5899E+02 0.00 0.00 .3701E+02 0.00 0.00
.1000E+07 .5237E+02 0.00 0.00 .3280E+02 0.00 0.00
.1059E+07 .4656E+02 0.00 0.00 .2909E+02 0.00 0.00
.1122E+07 .4152E+02 0.00 0.00 .2580E+02 0.00 0.00
.1189E+07 .3722E+02 0.00 0.00 .2291E+02 0.00 0.00
.1259E+07 .3364E+02 0.00 0.00 .2035E+02 0.00 0.00
.1334E+07 .3067E+02 0.00 0.00 .1807E+02 0.00 0.00
.1413E+07 .2772E+02 0.00 0.00 .1606E+02 0.00 0.00
.1496E+07 .2439E+02 0.00 0.00 .1427E+02 0.00 0.00
.1585E+07 .2135E+02 0.00 0.00 .1269E+02 0.00 0.00
.1679E+07 .1877E+02 0.00 0.00 .1128E+02 0.00 0.00
.1778E+07 .1658E+02 0.00 0.00 .1004E+02 0.00 0.00
.1884E+07 .1468E+02 0.00 0.00 .8931E+01 0.00 0.00
.1995E+07 .1303E+02 0.00 0.00 .7948E+01 0.00 0.00
.2113E+07 .1157E+02 0.00 0.00 .7073E+01 0.00 0.00
.2239E+07 .1029E+02 0.00 0.00 .6295E+01 0.00 0.00
.2371E+07 .9157E+01 0.00 0.00 .5603E+01 0.00 0.00
.2512E+07 .8153E+01 0.00 0.00 .4987E+01 0.00 0.00
.2661E+07 .7263E+01 0.00 0.00 .4441E+01 0.00 0.00
.2818E+07 .6471E+01 0.00 0.00 .3955E+01 0.00 0.00
.2985E+07 .5769E+01 0.00 0.00 .3523E+01 0.00 0.00
.3162E+07 .5144E+01 0.00 0.00 .3138E+01 0.00 0.00
.3350E+07 .4587E+01 0.00 0.00 .2794E+01 0.00 0.00
.3548E+07 .4092E+01 0.00 0.00 .2489E+01 0.00 0.00
.3758E+07 .3651E+01 0.00 0.00 .2217E+01 0.00 0.00
.3981E+07 .3258E+01 0.00 0.00 .1976E+01 0.00 0.00
.4217E+07 .2907E+01 0.00 0.00 .1760E+01 0.00 0.00
.4467E+07 .2595E+01 0.00 0.00 .1568E+01 0.00 0.00
.4732E+07 .2317E+01 0.00 0.00 .1397E+01 0.00 0.00
.5012E+07 .2068E+01 0.00 0.00 .1245E+01 0.00 0.00
.5309E+07 .1847E+01 0.00 0.00 .1109E+01 0.00 0.00
.5623E+07 .1649E+01 0.00 0.00 .9884E+00 0.00 0.00
.5957E+07 .1473E+01 0.00 0.00 .8808E+00 0.00 0.00
.6310E+07 .1315E+01 0.00 0.00 .7850E+00 0.00 0.00
.6683E+07 .1174E+01 0.00 0.00 .6995E+00 0.00 0.00
.7079E+07 .1049E+01 0.00 0.00 .6234E+00 0.00 0.00
.7499E+07 .9366E+00 0.00 0.00 .5555E+00 0.00 0.00
.7943E+07 .8364E+00 0.00 0.00 .4951E+00 0.00 0.00
.8414E+07 .7469E+00 0.00 0.00 .4412E+00 0.00 0.00
.8913E+07 .6670E+00 0.00 0.00 .3932E+00 0.00 0.00
.9441E+07 .5956E+00 0.00 0.00 .3504E+00 0.00 0.00
.1000E+08 .5318E+00 0.00 0.00 .3123E+00 0.00 0.00
