17
0.      1.      
0.1     0.98
0.2     0.96
0.4     0.91
0.6     0.87
0.8     0.84
1.      0.81
1.5     0.75
2.      0.70
3.      0.62
4.      0.56
6.      0.47
8.      0.42
10.     0.37
15.     0.30
20.     0.25
40.     0.15
