          31        1221
4.778 4.50 .1771E+11 .8306E+10 .1344E+06
4.778 5.00 .1681E+11 .8339E+10 .1621E+06
4.778 5.50 .1627E+11 .8376E+10 .1837E+06
4.778 6.50 .1576E+11 .8357E+10 .2170E+06
4.903 4.50 .1671E+11 .1024E+11 .2215E+10
4.903 5.00 .1838E+11 .1071E+11 .9963E+08
4.903 5.50 .1791E+11 .1090E+11 .3345E+07
4.903 6.00 .1755E+11 .1098E+11 .2664E+07
4.903 6.50 .1732E+11 .1102E+11 .2427E+07
5.000 5.00 .1565E+11 .1066E+11 .2617E+10
5.000 5.50 .1705E+11 .1145E+11 .1084E+10
5.000 6.00 .1752E+11 .1187E+11 .3642E+09
5.000 6.50 .1753E+11 .1205E+11 .1250E+09
5.000 7.00 .1741E+11 .1211E+11 .6771E+08
5.000 7.50 .1731E+11 .1213E+11 .5383E+08
5.000 8.00 .1724E+11 .1213E+11 .5139E+08
5.079 5.70 .1490E+11 .1097E+11 .2545E+10
5.079 6.50 .1582E+11 .1163E+11 .1414E+10
5.079 7.00 .1607E+11 .1181E+11 .1043E+10
5.079 7.50 .1617E+11 .1189E+11 .8362E+09
5.079 8.00 .1619E+11 .1189E+11 .7294E+09
5.146 5.70 .1267E+11 .9972E+10 .3800E+10
5.146 6.00 .1320E+11 .1034E+11 .3335E+10
5.146 6.50 .1366E+11 .1066E+11 .2752E+10
5.146 7.00 .1391E+11 .1083E+11 .2342E+10
5.146 7.50 .1403E+11 .1088E+11 .2070E+10
5.204 6.50 .1190E+11 .9732E+10 .3634E+10
5.204 7.00 .1208E+11 .9844E+10 .3270E+10
5.204 7.50 .1214E+11 .9850E+10 .3004E+10
5.255 6.50 .1051E+11 .8906E+10 .4155E+10
5.255 7.00 .1066E+11 .9000E+10 .3852E+10
      91.       94.       96.       98.      100.      102.      104.
     106.      108.      110.      114.      118.      121.      125.
     127.      128.      131.      132.      134.      137.      140.
     143.      147.      151.      155.      159.      162.      166.
     170.      173.      177.      180.      182.      186.      191.
     194.      198.      202.      205.      210.      216.      220.
     223.      227.      230.      234.      240.      246.      252.
     257.      260.      264.      269.      274.      279.      284.
     290.      296.      301.      308.      318.      328.      338.
     348.      357.      366.      375.      385.      395.      405.
     414.      422.      430.      441.      451.      460.      470.
     480.      490.      500.      506.      512.      520.      530.
     540.      550.      560.      570.      580.      590.      600.
     610.      620.      630.      640.      650.      658.      665.
     675.      685.      695.      705.      716.      726.      735.
     745.      755.      765.      775.      785.      795.      805.
     815.      825.      835.      845.      855.      865.      875.
     885.      895.      905.      915.      925.      935.      945.
     955.      965.      975.      985.      995.     1005.     1015.
    1025.     1035.     1045.     1055.     1065.     1075.     1085.
    1095.     1105.     1115.     1125.     1135.     1145.     1155.
    1165.     1175.     1185.     1195.     1205.     1215.     1225.
    1235.     1245.     1255.     1265.     1275.     1285.     1295.
    1305.     1315.     1325.     1335.     1345.     1355.     1365.
    1375.     1385.     1395.     1405.     1415.     1425.     1435.
    1442.     1447.     1455.     1465.     1475.     1485.     1495.
    1505.     1512.     1517.     1525.     1535.     1545.     1555.
    1565.     1575.     1585.     1595.     1605.     1615.     1625.
    1635.     1645.     1655.     1665.     1672.     1677.     1685.
    1695.     1705.     1715.     1725.     1735.     1745.     1755.
    1765.     1775.     1785.     1795.     1805.     1815.     1825.
    1835.     1845.     1855.     1865.     1875.     1885.     1895.
    1905.     1915.     1925.     1935.     1945.     1955.     1967.
    1976.     1984.     1995.     2005.     2015.     2025.     2035.
    2045.     2055.     2065.     2074.     2078.     2085.     2095.
