 58  18  26   7 0.1000   5.00
  0.0900   2   0.0000   0.0000  0   0.0000
-0.270  3.708  4.333 0.13069200E+05
-0.253  3.708  4.315 0.13503700E+05
-0.199  3.707  4.259 0.14641800E+05
-0.128  3.704  4.176 0.15652900E+05
-0.047  3.693  4.049 0.16452400E+05
-0.028  3.687  4.007 0.16606200E+05
 0.045  3.662  3.832 0.16981000E+05
 0.155  3.648  3.667 0.17163400E+05
 0.275  3.641  3.520 0.17281100E+05
 0.403  3.636  3.372 0.17377300E+05
 0.524  3.631  3.230 0.17449200E+05
 0.643  3.626  3.090 0.17507900E+05
 0.770  3.620  2.939 0.17553500E+05
 0.892  3.613  2.790 0.17589100E+05
 1.014  3.606  2.638 0.17617300E+05
 1.134  3.599  2.490 0.17640900E+05
 1.249  3.590  2.340 0.17667800E+05
 1.367  3.582  2.189 0.17681000E+05
 1.483  3.571  2.032 0.17692100E+05
 1.612  3.562  1.864 0.17702100E+05
 1.738  3.550  1.693 0.17709900E+05
 1.864  3.539  1.524 0.17715700E+05
 1.983  3.527  1.356 0.17720500E+05
 2.099  3.520  1.209 0.17724300E+05
 2.208  3.504  1.038 0.17726900E+05
 2.322  3.493  0.879 0.17729200E+05
 2.428  3.476  0.708 0.17731000E+05
 2.538  3.462  0.541 0.17732600E+05
 2.644  3.447  0.374 0.17733800E+05
 2.746  3.429  0.201 0.17734800E+05
 2.855  3.416  0.039 0.17735700E+05
 2.960  3.401 -0.127 0.17736500E+05
 3.055  3.382 -0.296 0.17737000E+05
 3.162  3.366 -0.469 0.17737600E+05
 3.261  3.349 -0.636 0.17738100E+05
 3.344  3.341 -0.751 0.17738400E+05
  0.7500  44   0.4265   0.4831  0   0.0000
-0.545  3.683  4.538 0.00000000E+00
-0.458  3.703  4.528 0.85265280E+03
-0.394  3.708  4.484 0.38902860E+04
-0.341  3.709  4.436 0.64497020E+04
-0.298  3.707  4.387 0.85797850E+04
-0.274  3.707  4.361 0.94717100E+04
-0.223  3.713  4.334 0.10072670E+05
-0.151  3.721  4.294 0.10210900E+05
-0.133  3.720  4.272 0.10301290E+05
-0.114  3.718  4.248 0.10611620E+05
-0.065  3.716  4.187 0.11433200E+05
-0.007  3.711  4.111 0.12173980E+05
 0.061  3.692  3.967 0.12778000E+05
 0.075  3.689  3.937 0.12896480E+05
 0.148  3.659  3.749 0.13193870E+05
 0.267  3.647  3.581 0.13333700E+05
 0.387  3.641  3.437 0.13427560E+05
 0.500  3.637  3.305 0.13505760E+05
 0.602  3.632  3.186 0.13566940E+05
 0.702  3.627  3.067 0.13618940E+05
 0.798  3.622  2.951 0.13661600E+05
 0.900  3.617  2.827 0.13696960E+05
 1.011  3.610  2.689 0.13726280E+05
 1.123  3.603  2.548 0.13751100E+05
 1.252  3.594  2.383 0.13779080E+05
 1.340  3.588  2.270 0.13793340E+05
 1.453  3.579  2.121 0.13805650E+05
 1.577  3.568  1.956 0.13816870E+05
 1.705  3.558  1.786 0.13825650E+05
 1.827  3.547  1.620 0.13832190E+05
 1.958  3.535  1.441 0.13837570E+05
 2.091  3.524  1.264 0.13841670E+05
 2.195  3.512  1.114 0.13844430E+05
 2.305  3.499  0.951 0.13846910E+05
 2.412  3.486  0.793 0.13848850E+05
 2.532  3.469  0.602 0.13850550E+05
 2.640  3.454  0.436 0.13851810E+05
 2.745  3.438  0.268 0.13852850E+05
 2.857  3.421  0.088 0.13853790E+05
 2.977  3.405 -0.095 0.13854600E+05
 3.061  3.390 -0.241 0.13855100E+05
 3.181  3.368 -0.451 0.13855710E+05
 3.286  3.353 -0.614 0.13856200E+05
 3.345  3.345 -0.705 0.13856500E+05
  0.7500  45   0.4265   0.4831  0   0.0000
-0.545  3.683  4.538 0.00000000E+00
-0.458  3.703  4.528 0.85278000E+03
-0.393  3.708  4.483 0.39449600E+04
-0.349  3.709  4.444 0.60653400E+04
