 66  24  34   7 0.0001   7.00
  0.0900   2   0.0000   0.0000  0   0.0000
-3.199  3.484  5.481 0.00000000E+00
-3.199  3.484  5.481 0.10000000E+06
  0.1000   2   0.0000   0.0000  0   0.0000
-2.830  3.542  5.390 0.00000000E+00
-2.830  3.542  5.390 0.10000000E+06
  0.1500   2   0.0000   0.0000  0   0.0000
-2.270  3.597  5.226 0.00000000E+00
-2.270  3.597  5.226 0.10000000E+06
  0.2000   2   0.0000   0.0000  0   0.0000
-1.983  3.613  5.129 0.00000000E+00
-1.983  3.613  5.129 0.10000000E+06
  0.3000   2   0.0000   0.0000  0   0.0000
-1.629  3.631  5.023 0.00000000E+00
-1.629  3.631  5.023 0.10000000E+06
  0.4000   2   0.0000   0.0000  0   0.0000
-1.391  3.644  4.964 0.00000000E+00
-1.391  3.644  4.964 0.10000000E+06
  0.5000   2   0.0000   0.0000  0   0.0000
-1.063  3.674  4.852 0.00000000E+00
-1.063  3.674  4.852 0.10000000E+06
  0.6000  35   0.4903   0.4903  0   0.0000
-0.830  3.706  4.818 0.00000000E+00
-0.779  3.714  4.797 0.44574100E+04
-0.715  3.723  4.771 0.10354000E+05
-0.652  3.732  4.744 0.15345000E+05
-0.588  3.741  4.714 0.19597300E+05
-0.521  3.749  4.681 0.23249200E+05
-0.451  3.757  4.642 0.26406600E+05
-0.373  3.765  4.596 0.29070700E+05
-0.295  3.771  4.541 0.31291300E+05
-0.077  3.781  4.365 0.35242500E+05
 0.000  3.783  4.292 0.36178600E+05
 0.020  3.782  4.272 0.36379300E+05
 0.030  3.782  4.263 0.36473700E+05
 0.090  3.782  4.200 0.36978300E+05
 0.190  3.776  4.077 0.37613800E+05
 0.341  3.759  3.859 0.38136400E+05
 0.507  3.745  3.635 0.38420700E+05
 0.588  3.740  3.537 0.38532800E+05
 0.665  3.738  3.450 0.38624200E+05
 0.824  3.733  3.272 0.38796400E+05
 0.985  3.729  3.095 0.38916800E+05
 1.148  3.725  2.916 0.39007700E+05
 1.308  3.721  2.737 0.39067200E+05
 1.467  3.716  2.561 0.39111900E+05
 1.631  3.712  2.380 0.39144100E+05
 1.790  3.707  2.199 0.39167300E+05
 1.950  3.702  2.022 0.39186000E+05
 2.110  3.697  1.843 0.39198000E+05
 2.269  3.692  1.662 0.39206600E+05
 2.428  3.687  1.482 0.39212700E+05
 2.590  3.681  1.294 0.39217600E+05
 2.749  3.674  1.108 0.39221200E+05
 2.911  3.668  0.924 0.39224000E+05
 3.069  3.660  0.735 0.39226200E+05
 3.209  3.657  0.581 0.39227700E+05
  0.7000  35   0.4887   0.5723  0   0.0000
-0.525  3.752  4.762 0.00000000E+00
-0.478  3.758  4.737 0.22460820E+04
-0.420  3.765  4.708 0.52496520E+04
-0.365  3.771  4.679 0.78427370E+04
-0.311  3.777  4.647 0.10098470E+05
-0.255  3.782  4.613 0.12082530E+05
-0.197  3.787  4.573 0.13844090E+05
-0.136  3.791  4.530 0.15378930E+05
-0.067  3.796  4.479 0.16694980E+05
 0.120  3.803  4.320 0.19202420E+05
 0.175  3.804  4.271 0.19820400E+05
 0.196  3.804  4.251 0.19998810E+05
 0.206  3.804  4.241 0.20082670E+05
