 64  24  26   7 0.0004   7.00
  0.0900   2   0.0000   0.0000  0   0.0000
 0.383  3.775  3.947 0.24454900E+05
 0.475  3.756  3.778 0.24701300E+05
 0.506  3.750  3.724 0.24755800E+05
 0.582  3.742  3.614 0.24855500E+05
 0.706  3.734  3.461 0.24974500E+05
 0.752  3.732  3.406 0.25012800E+05
 0.834  3.729  3.314 0.25074000E+05
 0.956  3.726  3.177 0.25149800E+05
 1.076  3.723  3.045 0.25211100E+05
 1.196  3.720  2.914 0.25261200E+05
 1.315  3.717  2.781 0.25298500E+05
 1.437  3.712  2.642 0.25328600E+05
 1.557  3.708  2.507 0.25352800E+05
 1.677  3.705  2.373 0.25372300E+05
 1.797  3.702  2.241 0.25390200E+05
 1.917  3.699  2.107 0.25405800E+05
 2.036  3.694  1.970 0.25414700E+05
 2.155  3.690  1.833 0.25421900E+05
 2.274  3.685  1.695 0.25427700E+05
 2.395  3.680  1.554 0.25431500E+05
 2.516  3.674  1.412 0.25435200E+05
 2.637  3.668  1.265 0.25437600E+05
 2.755  3.662  1.122 0.25440300E+05
 2.871  3.654  0.974 0.25441900E+05
 2.990  3.650  0.840 0.25444500E+05
 3.111  3.644  0.696 0.25446000E+05
 3.232  3.635  0.540 0.25447400E+05
 3.278  3.634  0.489 0.25448000E+05
 3.279  3.634  0.488 0.25448010E+05
  0.8000  42   0.4853   0.6618  0   0.0000
-0.308  3.777  4.704 0.00000000E+00
-0.272  3.780  4.682 0.10786250E+04
-0.235  3.784  4.661 0.24864900E+04
-0.195  3.789  4.637 0.39024150E+04
-0.151  3.793  4.609 0.53331060E+04
-0.101  3.797  4.574 0.67922610E+04
-0.039  3.801  4.531 0.82991270E+04
 0.050  3.807  4.464 0.10054690E+05
 0.142  3.811  4.390 0.11462600E+05
 0.272  3.816  4.277 0.12972320E+05
 0.315  3.816  4.236 0.13341100E+05
 0.337  3.815  4.213 0.13509350E+05
 0.438  3.809  4.087 0.14103410E+05
 0.520  3.799  3.962 0.14463890E+05
 0.574  3.789  3.869 0.14649100E+05
 0.592  3.782  3.824 0.14692490E+05
 0.628  3.769  3.736 0.14776890E+05
 0.695  3.749  3.588 0.14891070E+05
 0.734  3.743  3.526 0.14930080E+05
 0.826  3.736  3.409 0.14992400E+05
 0.961  3.730  3.246 0.15068000E+05
 1.096  3.726  3.096 0.15126920E+05
 1.227  3.722  2.949 0.15173570E+05
 1.351  3.719  2.815 0.15207630E+05
 1.472  3.715  2.676 0.15235010E+05
 1.597  3.711  2.533 0.15256900E+05
 1.721  3.707  2.394 0.15274360E+05
 1.846  3.703  2.255 0.15290120E+05
 1.928  3.702  2.165 0.15304880E+05
 2.046  3.697  2.029 0.15313490E+05
 2.173  3.692  1.884 0.15320410E+05
 2.286  3.687  1.751 0.15325940E+05
 2.379  3.684  1.644 0.15329730E+05
 2.498  3.679  1.504 0.15333560E+05
 2.597  3.674  1.386 0.15336100E+05
 2.723  3.668  1.236 0.15339000E+05
 2.804  3.664  1.142 0.15340770E+05
 2.969  3.653  0.932 0.15343630E+05
 3.093  3.648  0.789 0.15345190E+05
 3.227  3.640  0.622 0.15346610E+05
 3.270  3.637  0.566 0.15347200E+05
 3.274  3.637  0.562 0.15347210E+05
  0.8000  44   0.4853   0.6618  0   0.0000
-0.308  3.777  4.704 0.00000000E+00
-0.267  3.781  4.679 0.12436400E+04
-0.227  3.785  4.656 0.27903500E+04
-0.183  3.790  4.630 0.43107300E+04
-0.136  3.794  4.599 0.58073000E+04
-0.083  3.798  4.562 0.72802400E+04
-0.019  3.803  4.517 0.87695690E+04
 0.080  3.809  4.442 0.10601000E+05
 0.181  3.813  4.358 0.12005900E+05
 0.273  3.816  4.276 0.12983400E+05
 0.315  3.816  4.236 0.13341100E+05
 0.322  3.816  4.228 0.13399400E+05
 0.349  3.815  4.200 0.13598100E+05
 0.474  3.807  4.042 0.14305400E+05
 0.574  3.789  3.869 0.14649200E+05
 0.646  3.763  3.692 0.14818800E+05
 0.679  3.751  3.613 0.14875300E+05
 0.741  3.742  3.516 0.14936700E+05
 0.863  3.734  3.361 0.15017100E+05
 0.870  3.734  3.352 0.15021800E+05
 0.992  3.729  3.211 0.15083500E+05
 1.112  3.725  3.078 0.15133600E+05
 1.232  3.722  2.944 0.15175200E+05
 1.357  3.719  2.808 0.15209400E+05
 1.477  3.715  2.670 0.15236100E+05
 1.597  3.711  2.533 0.15256900E+05
 1.716  3.707  2.399 0.15273800E+05
 1.836  3.703  2.266 0.15288300E+05
 1.876  3.703  2.222 0.15295600E+05
 1.860  3.703  2.241 0.15299100E+05
 1.955  3.701  2.135 0.15307200E+05
 2.074  3.696  1.997 0.15315400E+05
 2.196  3.691  1.857 0.15321600E+05
 2.319  3.686  1.713 0.15327500E+05
 2.440  3.681  1.573 0.15332000E+05
 2.558  3.676  1.432 0.15335200E+05
 2.682  3.670  1.284 0.15338100E+05
 2.805  3.664  1.140 0.15340800E+05
 2.922  3.655  0.987 0.15343000E+05
 3.042  3.651  0.848 0.15344600E+05
 3.163  3.645  0.707 0.15346000E+05
 3.279  3.636  0.555 0.15347100E+05
 3.270  3.637  0.566 0.15347200E+05
 3.274  3.637  0.562 0.15347210E+05
  0.9000  44   0.4846   0.7867  0   0.0000
-0.067  3.806  4.632 0.00000000E+00
-0.032  3.809  4.609 0.73879860E+03
 0.009  3.813  4.582 0.16613660E+04
 0.047  3.816  4.556 0.25751640E+04
 0.089  3.820  4.527 0.34874920E+04
 0.135  3.823  4.495 0.43977150E+04
 0.189  3.827  4.456 0.53361490E+04
 0.277  3.832  4.391 0.65251330E+04
 0.370  3.838  4.318 0.74561270E+04
 0.452  3.840  4.248 0.81169570E+04
 0.489  3.841  4.213 0.83617200E+04
 0.496  3.841  4.206 0.84035620E+04
 0.519  3.840  4.180 0.85467440E+04
 0.631  3.831  4.034 0.90665580E+04
 0.717  3.813  3.872 0.93277710E+04
 0.776  3.787  3.710 0.94606770E+04
 0.798  3.773  3.633 0.95060900E+04
 0.822  3.755  3.535 0.95583630E+04
 0.927  3.738  3.366 0.96318990E+04
 0.937  3.738  3.353 0.96361500E+04
 1.069  3.731  3.194 0.96873920E+04
 1.192  3.727  3.053 0.97284050E+04
 1.315  3.723  2.916 0.97622470E+04
 1.442  3.720  2.775 0.97899260E+04
 1.563  3.715  2.636 0.98114460E+04
 1.680  3.711  2.503 0.98282500E+04
 1.797  3.707  2.370 0.98419830E+04
 1.914  3.704  2.240 0.98537780E+04
 1.954  3.703  2.196 0.98597500E+04
 1.919  3.704  2.237 0.98640900E+04
 2.022  3.701  2.122 0.98707060E+04
 2.131  3.697  1.997 0.98774330E+04
 2.233  3.693  1.879 0.98827290E+04
 2.353  3.688  1.738 0.98878990E+04
 2.468  3.684  1.605 0.98918860E+04
 2.572  3.679  1.483 0.98947930E+04
 2.690  3.673  1.342 0.98974690E+04
 2.812  3.668  1.197 0.98999850E+04
 2.928  3.660  1.051 0.99020480E+04
 3.037  3.654  0.916 0.99035640E+04
 3.154  3.649  0.780 0.99049120E+04
 3.259  3.644  0.652 0.99059830E+04
 3.265  3.643  0.644 0.99060800E+04
 3.266  3.642  0.643 0.99060810E+04
  0.9000  43   0.4846   0.7867  0   0.0000
-0.067  3.806  4.632 0.00000000E+00
-0.007  3.812  4.593 0.12722600E+04
 0.057  3.817  4.549 0.28254800E+04
 0.119  3.822  4.507 0.41087700E+04
 0.179  3.826  4.464 0.51844300E+04
 0.239  3.830  4.419 0.60907600E+04
 0.306  3.834  4.369 0.68615100E+04
 0.375  3.838  4.314 0.75064500E+04
 0.404  3.839  4.290 0.77597700E+04
 0.448  3.840  4.252 0.80902400E+04
 0.489  3.841  4.213 0.83617200E+04
 0.493  3.841  4.209 0.83884900E+04
 0.519  3.840  4.181 0.85445610E+04
 0.634  3.831  4.030 0.90810800E+04
 0.724  3.811  3.859 0.93483200E+04
 0.784  3.783  3.688 0.94768500E+04
 0.823  3.754  3.531 0.95605200E+04
 0.827  3.751  3.517 0.95673000E+04
 0.927  3.738  3.366 0.96318990E+04
 0.937  3.738  3.353 0.96361500E+04
 1.061  3.731  3.203 0.96847200E+04
 1.185  3.727  3.061 0.97264800E+04
 1.307  3.723  2.925 0.97605210E+04
 1.429  3.720  2.790 0.97875500E+04
 1.551  3.716  2.650 0.98096410E+04
 1.671  3.711  2.513 0.98272100E+04
 1.790  3.707  2.377 0.98413300E+04
 1.910  3.704  2.245 0.98531100E+04
 1.954  3.703  2.196 0.98597500E+04
 1.919  3.704  2.237 0.98640900E+04
 2.037  3.701  2.105 0.98716700E+04
 2.160  3.696  1.963 0.98792390E+04
 2.286  3.691  1.817 0.98852700E+04
 2.406  3.686  1.677 0.98899490E+04
 2.532  3.681  1.530 0.98938800E+04
 2.653  3.675  1.386 0.98966600E+04
 2.774  3.670  1.243 0.98992710E+04
 2.891  3.663  1.099 0.99015000E+04
 3.009  3.655  0.948 0.99032290E+04
 3.134  3.650  0.805 0.99047100E+04
 3.255  3.644  0.658 0.99059100E+04
 3.265  3.643  0.644 0.99060800E+04
 3.266  3.642  0.643 0.99060810E+04
  1.0000  43   0.4826   0.9042  0   0.0000
 0.154  3.834  4.565 0.00000000E+00
 0.205  3.839  4.535 0.79037970E+03
 0.264  3.845  4.500 0.17704120E+04
 0.318  3.850  4.465 0.25934070E+04
 0.371  3.854  4.428 0.32960260E+04
 0.424  3.858  4.392 0.38979030E+04
 0.481  3.863  4.357 0.44205730E+04
 0.539  3.868  4.318 0.48686200E+04
 0.564  3.870  4.299 0.50470410E+04
 0.594  3.870  4.270 0.52855800E+04
 0.644  3.875  4.239 0.54827400E+04
 0.652  3.875  4.233 0.55020530E+04
 0.679  3.875  4.205 0.56135450E+04
 0.780  3.862  4.054 0.60071240E+04
 0.853  3.841  3.898 0.62110210E+04
 0.902  3.816  3.748 0.63114620E+04
 0.936  3.786  3.595 0.63776810E+04
 0.938  3.783  3.581 0.63831080E+04
 0.962  3.753  3.436 0.64403250E+04
 0.967  3.752  3.425 0.64444080E+04
 1.059  3.737  3.276 0.64941570E+04
 1.198  3.730  3.108 0.65371830E+04
 1.333  3.725  2.954 0.65710560E+04
 1.463  3.722  2.809 0.65973360E+04
 1.594  3.718  2.661 0.66183740E+04
 1.723  3.713  2.513 0.66347450E+04
 1.849  3.708  2.369 0.66476430E+04
 1.973  3.704  2.230 0.66582600E+04
 2.024  3.703  2.174 0.66641500E+04
 1.954  3.706  2.254 0.66668500E+04
 2.060  3.702  2.135 0.66736540E+04
 2.183  3.698  1.995 0.66805880E+04
 2.302  3.694  1.856 0.66861520E+04
 2.419  3.689  1.721 0.66905280E+04
 2.544  3.684  1.575 0.66942240E+04
 2.653  3.679  1.445 0.66968670E+04
 2.772  3.673  1.304 0.66993860E+04
 2.900  3.667  1.150 0.67015290E+04
 3.017  3.659  1.003 0.67031620E+04
 3.130  3.653  0.866 0.67045800E+04
 3.233  3.650  0.749 0.67057690E+04
 3.248  3.649  0.732 0.67059400E+04
 3.250  3.649  0.729 0.67059410E+04
